iShares S&P 100 ETF
Fund Holdings as of,"Mar 31, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NEE","NEXTERA ENERGY INC","Equity","0.84","240.62","167,849.00","40,387,826.38","40,387,826.38","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.83","138.72","290,139.00","40,248,082.08","40,248,082.08","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.81","283.60","137,698.00","39,051,152.80","39,051,152.80","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.81","72.96","534,285.00","38,981,433.60","38,981,433.60","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.80","76.19","507,835.00","38,691,948.65","38,691,948.65","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.80","95.74","403,214.00","38,603,708.36","38,603,708.36","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"WFC","WELLS FARGO","Equity","0.79","28.70","1,321,676.00","37,932,101.20","37,932,101.20","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.74","48.33","743,966.00","35,955,876.78","35,955,876.78","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.74","163.26","218,078.00","35,603,414.28","35,603,414.28","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.73","82.74","427,878.00","35,402,625.72","35,402,625.72","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
