,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
QCOM,,66.5,2200,14073000,12020409,14073000,1.465558,66.03,1000,,USD,68.7,65,2.48,0.0367,2020-03-04,-,76.11943,96.17,55.79,3.56,10.983334,,,75326341120,1,,,65,,0.70449996,67.65,2,3.073541,68.7,65,65,67.65,14167923,-,,,,True,2.48,0.036659274,18.700342,82.39161,14167923,,,,
CVS,,58.9,800,16778742,10696609,16778742,0.958828,58.34,900,,USD,58.87,57.2,2,0.0337,2020-04-22,-,62.478287,77.03,51.72,2.43,7.69657,,,76084690944,1,,,57.75,,0.3937,59.33,2,0.29747888,58.87,57.2,57.75,59.33,10987383,-,,,,True,2,0.033709757,11.484252,68.07569,10987383,,,,
UTX,,91.79,800,10917400,7121024,10917400,1.263657,91.38,900,,USD,92,88.325,2.94,0.0312,2020-02-13,-,119.92971,158.44,69.02,2.33,10.418472,,,79141494784,1,,,89.48,,0.4587,94.33,2,1.027198,92,88.325,89.48,94.33,12183530,-,,,,True,2.94,0.03116718,14.254291,139.18036,12183530,,,,
MO,,37.2,800,18689157,12357635,18689157,0.585114,37.56,1300,,USD,37.98,36.69,3.36,0.086899996,2020-03-24,-,40.586,57.11,30.95,4.61,8.070816,,,69893300224,1,,,36.85,,,38.67,2,3.5306778,37.98,36.69,36.85,38.67,18287479,-,,,,True,3.28,0.08482028,,45.390366,18287479,,,,
MDLZ,,49.49,1100,10831128,9307183,10831128,0.768012,48.33,800,,USD,49.895,48.155,1.14,0.0228,2020-03-30,-,52.990284,59.96,41.19,1.8,17.080702,,,69755518976,1,,,48.38,,0.4113,50.08,2,2.696595,49.895,48.155,48.38,50.08,7114341,-,,,,True,1.09,0.021765176,18.36981,53.91584,7114341,,,,
GE,,7.11,21500,112480114,84221748,112480114,1.135391,7.11,21500,,USD,7.55,7,0.04,0.005,2020-03-06,-,9.593714,13.26,5.9,3.24,10.057143,,,61248000000,1,,,7.52,,,7.94,2,0.64326674,7.55,7,7.52,7.94,98684678,-,,,,True,0.04,0.005037783,,10.423504,98684678,,,,
CHTR,,423.36,800,2244585,1865219,2244585,1.048297,423.27,800,,USD,434.83,413.39,,,-,-,473.606,546.54,343.15,,21.30804,,,99306127360,1,,,418.3,,0,436.31,2,2.1699617,434.83,413.39,418.3,436.31,1341029,-,,,,True,,,56.91678,469.94498,1341029,,,,
LOW,,81.64,900,8105171,5905583,8105171,1.248614,79.01,800,,USD,83.92,79.08,2.2,0.0256,2020-04-21,-,100.615425,126.73,60,1.7,11.001368,,,60712996864,1,,,80.74,,0.38799998,86.05,2,0.8415063,83.92,79.08,80.74,86.05,7920061,-,,,,True,2.13,0.02475305,14.648452,111.78591,7920061,,,,
UPS,,90.38,1000,5613914,5300729,5613914,1.220902,90.08,1100,,USD,92.88,89.08,4.04,0.0432,2020-02-24,-,96.26685,125.31,82,3.08,10.916667,,,77595025408,1,,,90.91,,0.7515,93.42,2,1.0472511,92.88,89.08,90.91,93.42,5444010,-,,,,True,3.84,0.04110469,17.688845,111.81854,5444010,,,,
CAT,,111.65,800,6747885,4767259,6747885,1.41726,109.5,800,,USD,116.75,109.5,4.12,0.0355,2020-01-17,-,117.07714,150.55,87.5,3.03,12.263216,,,61251743744,1,,,112.09,,0.352,116.04,2,1.1385082,116.75,109.5,112.09,116.04,6763214,-,,,,True,3.95,0.034039985,10.3677845,133.32759,6763214,,,,
DUK,,77.97,800,5974571,4414283,5974571,0.210609,76.51,800,,USD,79.7472,76.36,3.78,0.0467,2020-02-13,-,90.06057,103.79,62.13,4.23,14.20696,,,56938627072,1,,,77.92,,0.73870003,80.88,2,2.309134,79.7472,76.36,77.92,80.88,4478400,-,,,,True,3.745,0.046303164,15.336101,92.03759,4478400,,,,
AGN,,175.2,1000,4366900,3680466,4366900,1.490894,170.86,900,,USD,175.95,173.04,2.96,0.0168,2020-04-15,-,185.83458,202.22,114.27,,9.722068,,,57542443008,1,,,173.49,,,177.1,2,3.5765307,175.95,173.04,173.49,177.1,2935906,-,,,,True,2.96,0.01671372,,182.86249,2935906,,,,
AXP,,78.8,800,8378300,6011708,8378300,1.089469,77.86,2200,,USD,81.31,77,1.72,0.0201,2020-04-02,-,105.882,138.13,67,1.49,8.765765,,,62721757184,1,,,80.65,,0.2053,85.61,2,1.5687106,81.31,77,80.65,85.61,8291915,-,,,,True,1.64,0.01915664,9.742178,117.985916,8291915,,,,
BIIB,,299.5,800,2482571,2047203,2482571,0.877276,294.5,800,,USD,313.462,290.41,,,-,-,310.7086,374.99,215.78,,9.026469,,,51047747584,1,,,308.81,,0,316.38,2,3.5504315,313.462,290.41,308.81,316.38,2177809,-,,,,True,,,9.333863,285.8571,2177809,,,,
CL,,66,1300,7817742,5796979,7817742,0.707838,65.01,800,,USD,65.85,64.09,1.76,0.026500002,2020-04-17,-,69.933426,77.41,58.49,2.32,21.213594,,,56205651968,1,,,64.75,,0.6218,66.36,2,3.5815747,65.85,64.09,64.75,66.36,4077582,-,,,,True,1.71,0.025768535,23.836365,69.51708,4077582,,,,
SO,,50.69,1000,8906528,6308059,8906528,0.391132,50.14,900,,USD,52.43,49.26,2.48,0.0458,2020-02-14,-,60.523144,71.1,41.96,4.61,15.193939,,,52859092992,1,,,51.9,,0.5467,54.14,2,2.46786,52.43,49.26,51.9,54.14,6784282,-,,,,True,2.46,0.045437757,11.142222,62.537445,6784282,,,,
